,car_brand,carprice,kms_driven,fuel_type,city,year_of_manufacture
237,Maruti,180000.0,49000.0,Petrol,Thane,2009
238,Maruti,453000.0,12104.0,Petrol,Kolkata,2018
239,Hyundai,534000.0,28646.0,Petrol,Pune,2016
240,Maruti,204999.99999999997,35965.0,Petrol,Kolkata,2014
241,Mercedes-Benz,1550000.0,64000.0,Diesel,Hyderabad,2010
242,Maruti,735000.0,5288.0,Petrol,Thane,2020
243,Volvo,1789999.9999999998,90604.0,Diesel,Hyderabad,2017
244,Maruti,225000.0,68000.0,Petrol,Thiruvallur,2011
245,Hyundai,850000.0,32243.0,Petrol,Hyderabad,2020
246,Maruti,687000.0,33823.0,Petrol,Delhi,2017
247,Maruti,538000.0,25412.0,Petrol,Kolkata,2018
248,BMW,5750000.0,22600.0,Diesel,Chennai,2021
249,Honda,830000.0000000001,56468.0,Petrol,Ahmedabad,2017
250,Ford,240000.0,73000.0,Petrol,Poonamallee,2011
251,Honda,630000.0,24751.0,Petrol,Kolkata,2018
252,Audi,4600000.0,9865.0,Petrol,Ahmedabad,2016
253,Maruti,475000.0,29646.0,Petrol,Thane,2016
254,BMW,2175000.0,55000.0,Diesel,Mumbai,2017
255,Volvo,5900000.0,15446.0,Diesel,Hyderabad,2020
256,Maruti,445000.0,24595.0,Petrol,Mumbai,2016
257,Hyundai,998000.0,97761.0,Diesel,Pune,2016
258,Maruti,565000.0,47000.0,Petrol,Hyderabad,2020
259,Hyundai,484999.99999999994,66471.0,Petrol,Delhi,2017
260,Datsun,325000.0,37000.0,Petrol,Ahmedabad,2019
261,Kia,1689999.9999999998,28100.0,Petrol,Ahmedabad,2020
262,Skoda,799000.0,63000.0,Diesel,Delhi,2014
263,Maruti,430000.0,26600.0,eco_fuel,Pune,2016
264,Mahindra,575000.0,55105.0,Diesel,Kolkata,2013
265,Hyundai,330000.0,42748.0,Petrol,Chennai,2017
266,Audi,5950000.0,51000.0,Diesel,Ahmedabad,2018
267,Audi,2500000.0,76000.0,Diesel,Ahmedabad,2018
268,Hyundai,613000.0,35247.0,Petrol,Pune,2017
269,Hyundai,559000.0,30183.0,Petrol,Kolkata,2019
270,Mercedes-Benz,6800000.0,88000.0,Diesel,Hyderabad,2018
271,MG,1698999.9999999998,7870.0,Petrol,Kolkata,2021
272,Mahindra,1490000.0,50000.0,Diesel,Chennai,2018
273,BMW,1710000.0000000002,46000.0,Diesel,Delhi,2015
274,Maruti,490000.00000000006,28726.0,Petrol,Thane,2018
275,Maruti,313000.0,32907.0,Petrol,Delhi,2014
276,Maruti,332000.0,29092.0,Petrol,Kolkata,2019
277,Hyundai,745000.0,62461.0,Petrol,Mumbai,2016
278,Skoda,385000.0,60000.0,Petrol,Noida,2012
279,Jaguar,2650000.0,62645.0,Diesel,Hyderabad,2015
280,Toyota,975000.0,83000.0,Diesel,Ahmedabad,2015
281,Hyundai,350000.0,55000.0,Petrol,Ahmedabad,2015
282,Toyota,3500000.0,181213.0,Diesel,Hyderabad,2019
283,Maruti,690000.0,25000.0,Petrol,Delhi,2020
284,Datsun,235000.0,52000.0,Petrol,Ahmedabad,2018
285,Ford,451000.0,38203.0,Petrol,Kolkata,2013
286,Maruti,405999.99999999994,64942.0,eco_fuel,Delhi,2017
287,Maruti,540000.0,47837.0,Petrol,Delhi,2018
288,Maruti,500000.0,85000.0,Petrol,Thiruvallur,2013
289,Mercedes-Benz,1648999.9999999998,51500.0,Diesel,Kolkata,2015
290,Skoda,2100000.0,23160.0,Petrol,Hyderabad,2018
291,Toyota,695000.0,75000.0,Petrol,Thane,2015
292,Toyota,883000.0,63000.0,Petrol,Delhi,2014
293,BMW,1550000.0,104264.0,Diesel,Hyderabad,2013
294,Hyundai,659000.0,15972.0,Petrol,Delhi,2017
296,Maruti,674000.0,30956.0,Petrol,Chennai,2020
297,Renault,998000.0,4371.0,Petrol,Kolkata,2022
298,Hyundai,1075000.0,63653.0,Diesel,Hyderabad,2020
299,Honda,405000.0,55297.0,Petrol,Thane,2013
300,Porsche,7856999.999999999,12000.0,Petrol,Ahmedabad,2015
301,Maruti,417000.0,21391.0,Petrol,Kolkata,2014
302,Renault,483000.0,11546.0,Petrol,Delhi,2021
303,Hyundai,589000.0,16270.0,Petrol,Pune,2020
304,Nissan,290000.0,73000.0,Diesel,Ahmedabad,2012
305,Hyundai,549000.0,53000.0,Petrol,Hyderabad,2018
306,Mercedes-Benz,1925000.0,34000.0,Petrol,Mumbai,2016
307,Hyundai,1064000.0,16328.0,Petrol,Pune,2019
308,Land,7700000.0,5600.0,Petrol,Thane,2021
309,Maruti,760000.0,73994.0,Diesel,Hyderabad,2016
310,Hyundai,1059000.0,43920.0,Petrol,Bangalore,2019
311,Maruti,317000.0,17715.0,Petrol,Kolkata,2014
312,Toyota,1040000.0,82902.0,Petrol,Delhi,2018
313,Land,12300000.0,39012.0,Diesel,Thane,2019
314,Maruti,471000.0,23344.0,Petrol,Hyderabad,2018
315,Hyundai,749000.0,93494.0,Petrol,Kolkata,2019
316,Honda,725000.0,27222.0,Petrol,Mumbai,2018
317,Hyundai,1600000.0,14468.0,Diesel,Hyderabad,2021
318,Honda,747000.0,40000.0,Diesel,Pallikarnai,2017
319,Maruti,575000.0,65000.0,Petrol,Thane,2015
320,Maruti,190000.0,60028.0,Petrol,Delhi,2012
321,Mercedes-Benz,2950000.0,37300.0,Diesel,Bangalore,2018
322,Hyundai,1125000.0,32143.0,Petrol,Mumbai,2018
323,Hyundai,645000.0,55669.0,Petrol,Chennai,2016
324,Hyundai,405000.0,72757.0,Petrol,Delhi,2016
325,Honda,875000.0,56000.0,Petrol,Ahmedabad,2017
326,Maruti,326000.0,70244.0,Petrol,Kolkata,2013
327,BMW,2145000.0,46595.0,Diesel,Delhi,2018
328,Maruti,951000.0,20703.0,Petrol,Ahmedabad,2020
329,Tata,1465000.0,47579.0,Diesel,Mumbai,2019
330,BMW,2800000.0,31000.0,Diesel,Kolkata,2019
331,Mercedes-Benz,5800000.0,31300.0,Diesel,Ahmedabad,2019
332,Ford,750000.0,52157.0,Diesel,Hyderabad,2016
333,Mahindra,950000.0,91000.0,Diesel,Ahmedabad,2016
334,Audi,2100000.0,69631.0,Diesel,Hyderabad,2013
335,Hyundai,611000.0,32036.0,Petrol,Mumbai,2018
336,Mercedes-Benz,6450000.0,2000.0,Petrol,Chennai,2022
337,Hyundai,600000.0,22621.0,Petrol,Kolkata,2018
338,Honda,625000.0,45000.0,Petrol,Thane,2015
339,Hyundai,1126000.0,33423.0,Petrol,Pune,2019
340,Hyundai,350000.0,31500.0,Petrol,Ahmedabad,2015
341,Hyundai,925000.0,51000.0,Petrol,Thane,2017
342,Renault,978999.9999999999,39030.0,Diesel,Bangalore,2018
343,Mercedes-Benz,3056000.0,27236.0,Petrol,Bangalore,2018
344,Maruti,357000.0,24063.0,Petrol,Kolkata,2015
345,Volkswagen,521000.0,59819.0,Petrol,Mumbai,2015
346,Renault,438999.99999999994,8297.0,Petrol,Delhi,2019
347,Maruti,735000.0,32740.0,Petrol,Pune,2017
348,BMW,4599000.0,34500.0,Diesel,Ahmedabad,2020
349,Kia,1419000.0,25007.0,Diesel,Pune,2020
350,Maruti,488999.99999999994,38944.0,Petrol,Chennai,2019
352,Volkswagen,350000.0,101740.0,Petrol,Hyderabad,2010
353,Maruti,599000.0,9130.0,Petrol,Pune,2019
354,Honda,675000.0,48650.0,Petrol,Mumbai,2017
355,Hyundai,1028999.9999999999,40314.0,Petrol,Pune,2016
356,Volvo,2287000.0,30800.0,Diesel,Ahmedabad,2015
357,Maruti,345000.0,33000.0,eco_fuel,Noida,2019
358,Hyundai,790000.0,54000.0,Petrol,Hyderabad,2019
359,Honda,844999.9999999999,22500.0,Petrol,Thane,2018
360,Toyota,849000.0,29866.0,Petrol,Bangalore,2020
361,Ford,535000.0,65000.0,Petrol,Noida,2017
362,Ford,475000.0,78822.0,Petrol,Faridabad,2014
363,Volkswagen,1648999.9999999998,9792.0,Petrol,Ahmedabad,2021
364,Hyundai,569000.0,64774.0,Petrol,Bangalore,2016
365,Toyota,3375000.0,31283.0,Diesel,Bangalore,2018
366,Skoda,1082000.0,10713.0,Petrol,Delhi,2020
367,Maruti,699000.0,13127.0,Petrol,Kolkata,2021
368,Maruti,425000.0,50000.0,Petrol,Thane,2016
369,Maruti,325000.0,35340.0,Petrol,Pune,2018
370,Honda,651000.0,27654.0,Petrol,Mumbai,2017
371,Hyundai,523000.00000000006,40067.0,eco_fuel,Pune,2018
372,Maruti,548000.0,50899.0,Petrol,Delhi,2018
373,Hyundai,459999.99999999994,52000.0,Petrol,Thane,2017
374,Honda,695000.0,51292.0,Petrol,Thane,2017
375,Hyundai,519000.00000000006,19905.0,Petrol,Kolkata,2017
376,Tata,110000.00000000001,18000.0,Petrol,Ahmedabad,2015
377,Maruti,1140000.0,28715.0,eco_fuel,Thane,2021
378,Maruti,721000.0,69161.0,eco_fuel,Mumbai,2015
379,Maruti,886999.9999999999,54571.0,Diesel,Pune,2017
380,Honda,775000.0,25000.0,Petrol,Thane,2016
381,Honda,875000.0,24259.0,Petrol,Kolkata,2019
382,Maruti,295000.0,30233.0,Petrol,Pune,2015
383,Mahindra,1750000.0,21000.0,Diesel,Delhi,2021
384,Maruti,825000.0,51000.0,eco_fuel,Thane,2017
385,Hyundai,450000.0,23137.0,Petrol,Thane,2016
386,Land,2600000.0,159070.0,Diesel,Hyderabad,2015
387,Maruti,645000.0,52328.0,Diesel,Noida,2018
388,Maruti,666000.0,35849.0,Petrol,Pune,2017
389,Hyundai,1066000.0,24783.0,Petrol,Bangalore,2020
390,Maruti,500000.0,27346.0,Petrol,Kolkata,2016
